,SMALL LoBM LoINV,ME1 BM1 INV2,ME1 BM1 INV3,ME1 BM1 HiINV,ME1 BM2 LoINV,ME1 BM2 INV2,ME1 BM2 INV3,ME1 BM2 HiINV,ME1 BM3 LoINV,ME1 BM3 INV2,ME1 BM3 INV3,ME1 BM3 HiINV,ME1 BM4 LoINV,ME1 BM4 INV2,ME1 BM4 INV3,SMALL HiBM HiINV,BIG LoBM LoINV,ME2 BM1 INV2,ME2 BM1 INV3,ME2 BM1 HiINV,ME2 BM2 LoINV,ME2 BM2 INV2,ME2 BM2 INV3,ME2 BM2 HiINV,ME2 BM3 LoINV,ME2 BM3 INV2,ME2 BM3 INV3,ME2 BM3 HiINV,ME2 BM4 LoINV,ME2 BM4 INV2,ME2 BM4 INV3,BIG HiBM HiINV
200708    ,-7.81    ,-5.94    ,-4.95    ,-9.12    ,-4.52    ,-3.87    ,-5.11    ,-8.43    ,-4.29    ,-3.83    ,-4.60    ,-7.07    ,-5.46    ,-4.54    ,-5.38    ,-5.26     ,1.94    ,-4.99    ,-1.22     ,0.01     ,0.34    ,-3.09    ,-5.45    ,-6.27     ,0.02    ,-1.20    ,-5.42    ,-7.14    ,-0.28    ,-5.18    ,-3.72    ,-4.22
200709    ,-0.11    ,-2.13    ,-1.87    ,-1.26    ,-1.05    ,-1.42     ,1.49    ,-1.08    ,-0.91     ,0.05     ,0.44    ,-2.59    ,-1.30     ,0.20    ,-0.90    ,-4.15     ,1.41     ,0.80     ,2.18     ,3.21     ,1.27     ,1.46     ,2.58     ,2.23     ,0.26     ,1.15     ,6.34     ,3.51     ,0.58     ,0.77    ,-1.31     ,5.01
200710    ,-0.32     ,2.73     ,4.34    ,11.73     ,1.59     ,0.78    ,-1.63     ,4.21     ,1.01    ,-1.03    ,-0.81     ,1.99    ,-2.66    ,-1.69    ,-2.48     ,0.06     ,2.66     ,6.08    ,-4.01     ,0.49    ,-2.67    ,-1.10     ,2.58     ,1.29    ,-0.55    ,-1.94    ,-1.32    ,-0.24     ,1.06    ,-0.56    ,-0.07    ,-2.86
200711    ,-1.10    ,-0.66    ,-2.45    ,-6.15    ,-1.39    ,-2.37    ,-4.24    ,-5.77    ,-1.43    ,-1.72    ,-2.58    ,-1.64    ,-2.41    ,-2.96    ,-4.10    ,-4.66    ,-1.13    ,-3.37    ,-2.86    ,-0.56    ,-1.79     ,0.59    ,-5.54    ,-1.81     ,6.30    ,-1.63    ,-3.54    ,-6.77    ,-2.58    ,-1.29    ,-5.45    ,-5.08
200712    ,-6.67    ,-7.06    ,-6.07    ,-6.58    ,-5.18    ,-3.56    ,-4.95    ,-6.59    ,-5.71    ,-4.06    ,-3.75    ,-4.31    ,-4.24    ,-3.91    ,-2.37    ,-5.59    ,-4.78    ,-5.47    ,-5.24    ,-5.06    ,-3.42    ,-3.08    ,-2.51    ,-3.19    ,-3.89    ,-4.02    ,-2.74    ,-5.54     ,0.32    ,-3.21    ,-2.84    ,-4.53
200801    ,-4.68    ,-1.65    ,-6.95    ,-8.03    ,-1.11    ,-2.70    ,-5.51    ,-6.96    ,-2.17    ,-2.17    ,-3.73    ,-4.96    ,-2.84    ,-1.57    ,-4.58    ,-4.16    ,-6.15    ,-7.03    ,-8.81    ,-7.49    ,-5.88    ,-4.99    ,-6.08    ,-2.71     ,1.73    ,-3.79    ,-6.06    ,-4.53    ,-3.08    ,-1.41     ,0.25    ,-0.12
200802     ,1.96     ,4.73     ,2.97     ,4.18     ,3.68     ,1.75     ,1.60     ,2.36     ,2.02     ,0.89     ,2.14     ,4.02     ,2.03     ,1.56     ,4.07     ,5.36    ,-0.94    ,-0.01     ,1.18     ,1.02     ,1.34     ,2.44    ,-1.93     ,0.07    ,-0.22     ,0.12     ,5.37     ,5.14    ,-1.95     ,1.43    ,-0.32     ,2.45
200803    ,-0.04     ,0.53    ,-0.24    ,-2.26     ,1.98     ,2.42    ,-0.17    ,-5.70     ,0.50     ,1.19    ,-0.25    ,-3.09     ,1.58     ,0.51    ,-0.80    ,-1.76    ,-1.50    ,-3.75    ,-2.36    ,-4.79    ,-1.30    ,-5.18    ,-4.97    ,-7.94     ,2.22    ,-0.60    ,-6.72    ,-3.67    ,-1.85    ,-4.12    ,-3.09    ,-4.43
200804     ,2.92    ,-2.46     ,1.11    ,-0.61     ,0.74    ,-1.05     ,1.38     ,3.16     ,1.19    ,-0.38    ,-0.07     ,1.59     ,1.03    ,-0.31     ,0.06    ,-0.67     ,3.64    ,14.31     ,9.77     ,5.07     ,7.14     ,9.45     ,6.55     ,7.84     ,0.18     ,4.48     ,8.56     ,7.00     ,3.87     ,6.31    ,10.18     ,6.71
200805     ,2.41     ,5.94     ,2.15     ,2.84     ,3.27     ,4.13     ,4.41     ,1.65     ,3.42     ,4.72     ,3.50     ,2.51     ,5.34     ,4.47     ,4.46     ,4.27     ,2.63    ,-0.48     ,4.29     ,1.40     ,1.40     ,4.51     ,3.73     ,0.68    ,-2.80     ,3.76     ,3.37     ,1.80     ,4.68     ,2.30     ,1.26     ,1.94
200806    ,-2.64    ,-2.93    ,-6.22    ,-8.43    ,-0.76    ,-3.91    ,-4.94    ,-7.77    ,-4.03    ,-3.09    ,-2.16    ,-5.29    ,-3.34    ,-1.76    ,-0.91    ,-2.97    ,-6.72    ,-6.64    ,-7.22    ,-9.83    ,-5.99    ,-8.47    ,-4.95    ,-8.34    ,-1.04    ,-4.11    ,-7.52    ,-9.05    ,-3.28    ,-5.32    ,-8.92    ,-5.48
200807    ,-1.30    ,-1.72    ,-3.01    ,-7.98    ,-1.67    ,-2.22    ,-3.81    ,-8.01    ,-1.00    ,-1.77    ,-2.58    ,-6.10    ,-3.38    ,-2.72    ,-3.90    ,-5.74    ,-3.79    ,-0.69    ,-2.32    ,-5.37     ,3.32    ,-0.97    ,-7.29    ,-7.54     ,2.16    ,-2.34    ,-3.79    ,-1.73    ,-0.86    ,-1.14    ,-4.57    ,-2.18
200808    ,-5.23    ,-3.51    ,-6.15    ,-9.02    ,-4.03    ,-5.89    ,-6.54    ,-9.82    ,-3.77    ,-3.63    ,-5.28   ,-10.50    ,-8.81    ,-6.41    ,-6.19   ,-11.58    ,-1.45    ,-2.52    ,-1.69    ,-6.47    ,-6.31    ,-3.66    ,-5.66    ,-1.95    ,-4.69    ,-2.94    ,-0.89    ,-3.38    ,-5.62    ,-3.61    ,-3.53    ,-8.07
200809    ,-7.46    ,-8.97    ,-8.79   ,-11.57    ,-6.96    ,-9.47    ,-9.31   ,-10.75    ,-6.38    ,-6.83    ,-6.76    ,-9.53    ,-7.32    ,-6.09    ,-5.05    ,-7.65   ,-11.36    ,-9.44   ,-15.59   ,-15.32    ,-5.80   ,-10.88   ,-18.08   ,-11.24    ,-4.56    ,-6.72    ,-9.10   ,-12.14    ,-8.41    ,-5.45   ,-10.73    ,-3.21
200810   ,-10.89    ,-6.73   ,-10.67   ,-16.60    ,-8.77    ,-3.16    ,-8.56   ,-13.56    ,-2.68    ,-1.41    ,-6.74   ,-13.78    ,-5.74    ,-4.23    ,-5.75   ,-11.45    ,-8.99    ,-7.83   ,-13.03   ,-17.11   ,-15.45   ,-17.08   ,-18.36   ,-13.59    ,-9.16    ,-9.42   ,-20.39   ,-17.66   ,-12.03   ,-11.73   ,-11.92   ,-13.74
200811     ,5.85     ,5.38     ,4.76     ,4.56     ,4.81     ,3.89     ,5.39     ,2.48     ,6.25     ,3.17     ,4.00    ,-1.94     ,1.86     ,2.74     ,2.10     ,2.04     ,1.70     ,1.88    ,-0.21     ,0.56    ,-1.21     ,0.51    ,-9.75    ,-7.54     ,2.32     ,6.08     ,5.55    ,-5.08     ,4.79     ,4.32     ,4.45   ,-12.63
200812    ,12.63     ,9.30     ,6.62     ,9.34     ,9.86     ,7.27     ,9.38     ,9.68     ,9.61    ,10.58     ,9.03    ,11.25     ,8.12    ,10.72     ,8.56    ,10.26     ,7.94     ,5.03     ,3.81    ,11.93    ,11.19     ,7.48     ,5.39     ,5.42    ,12.70     ,8.11     ,3.07     ,3.54    ,10.04    ,12.15    ,11.20    ,16.84
200901    ,-1.55    ,-6.48    ,-3.18    ,-2.49    ,-5.04    ,-4.74    ,-6.61    ,-4.47    ,-2.19    ,-3.92    ,-4.21    ,-2.05    ,-3.11    ,-0.61    ,-3.99    ,-4.04    ,-8.19   ,-12.79    ,-9.24    ,-8.27    ,-6.44    ,-9.18    ,-4.68    ,-3.28    ,-5.50    ,-6.95    ,-7.77    ,-1.51    ,-6.73    ,-8.07    ,-5.83    ,-5.71
200902   ,-14.06   ,-14.17   ,-11.75   ,-15.15   ,-11.63   ,-12.03   ,-14.59   ,-14.63   ,-11.97   ,-10.57   ,-12.74   ,-15.91   ,-11.69   ,-13.01   ,-12.46   ,-14.87   ,-11.31   ,-15.71   ,-13.24   ,-10.01   ,-13.57   ,-18.79    ,-9.19    ,-4.54   ,-13.53   ,-14.98   ,-12.93   ,-10.07   ,-13.66   ,-13.95   ,-10.86   ,-14.78
200903    ,-1.05     ,1.00     ,1.02     ,3.77     ,1.28     ,1.86     ,4.44     ,3.42     ,1.88     ,0.75     ,1.63     ,4.33     ,5.18     ,2.25     ,3.46     ,7.48     ,2.71    ,-0.81     ,5.09     ,2.79    ,-4.43     ,4.50     ,6.26     ,0.10    ,-4.86     ,2.07     ,8.18     ,2.76     ,2.22     ,4.85     ,1.63     ,5.93
200904     ,7.25     ,4.60     ,4.83     ,5.46     ,1.59     ,1.00     ,4.65     ,7.11     ,1.13     ,0.13     ,1.17     ,9.19     ,4.15     ,4.94     ,1.34     ,2.78     ,4.29     ,5.32     ,8.16     ,7.02     ,6.95     ,8.13    ,19.17    ,16.57     ,2.21     ,6.64    ,11.92    ,15.36     ,3.42     ,4.89     ,7.85     ,9.85
200905    ,10.04     ,7.89    ,13.21    ,19.02    ,10.38     ,9.87    ,14.61    ,13.21     ,9.00     ,9.43    ,12.71    ,17.40    ,12.67    ,10.00    ,11.45    ,18.50    ,10.13    ,13.34    ,12.48    ,12.69     ,7.38    ,13.95    ,13.98     ,7.97     ,9.17     ,9.26     ,9.06     ,9.56     ,8.95     ,8.57    ,14.47    ,14.12
200906     ,6.48     ,4.24     ,6.17     ,9.51     ,7.71     ,5.49     ,8.28     ,8.41     ,4.87     ,7.07     ,8.84     ,7.12     ,9.24     ,5.48     ,8.67    ,14.25     ,3.73     ,2.88     ,5.28     ,3.03     ,0.75     ,4.36     ,2.14    ,-2.38     ,0.89     ,6.86     ,4.70     ,1.88     ,4.71     ,3.99     ,2.74    ,-1.35
200907     ,0.73     ,1.81     ,4.51     ,4.49     ,0.12     ,2.95     ,3.23     ,5.12     ,0.35     ,3.18     ,2.52     ,0.39    ,-1.23     ,2.11     ,5.09     ,1.14     ,5.58     ,1.17     ,1.43     ,2.13     ,3.85     ,6.12     ,3.83     ,5.94     ,5.82     ,8.20     ,3.85     ,4.61     ,5.25     ,5.11     ,4.88     ,3.64
200908     ,3.24     ,5.67     ,5.32     ,6.76     ,5.60     ,6.64     ,4.62     ,6.44     ,4.82     ,5.82     ,6.49     ,7.10     ,5.63     ,7.01     ,7.84    ,16.33     ,3.16     ,6.62     ,4.20     ,2.58     ,5.35     ,2.54     ,5.13     ,0.85     ,2.02     ,2.30     ,2.89     ,3.71     ,1.18     ,1.90     ,3.77     ,1.12
200909     ,0.26     ,2.34     ,2.76     ,3.12    ,-2.20    ,-0.60     ,1.82     ,0.91    ,-1.49    ,-1.15    ,-0.84     ,1.99    ,-5.35    ,-1.20    ,-1.09    ,-4.20     ,2.23     ,4.37     ,3.33     ,1.63    ,-0.52     ,0.70     ,1.31    ,-1.05    ,-6.02    ,-3.50    ,-5.92    ,-6.43    ,-2.29    ,-2.00    ,-3.63    ,-1.87
200910    ,-2.19    ,-1.69    ,-2.13    ,-2.44    ,-4.01    ,-2.90    ,-3.18    ,-1.85    ,-2.89    ,-4.29    ,-3.00    ,-5.31    ,-2.46    ,-5.06    ,-1.70     ,2.50    ,-3.22    ,-7.34    ,-5.48    ,-1.95    ,-4.75    ,-1.40    ,-5.47     ,0.88    ,-0.81     ,0.28     ,0.40     ,1.38     ,0.02    ,-2.42    ,-1.73     ,1.60
200911    ,-4.19    ,-4.30    ,-2.33    ,-6.53    ,-3.08    ,-4.44    ,-2.76    ,-5.15    ,-6.33    ,-8.18    ,-5.94    ,-6.96    ,-8.96    ,-8.89    ,-7.54   ,-10.29    ,-0.31     ,4.51     ,2.37     ,0.33    ,-3.97    ,-0.53    ,-1.73    ,-2.63    ,-4.00    ,-2.22    ,-0.33    ,-2.88    ,-4.74    ,-5.67    ,-6.88    ,-8.04
200912    ,-3.12    ,-4.30    ,-4.85    ,-2.67    ,-1.47    ,-1.73    ,-1.87    ,-2.91     ,0.44    ,-0.29    ,-1.12    ,-0.44     ,0.66     ,2.61     ,2.37     ,2.43     ,1.21    ,-6.40    ,-5.85     ,1.36     ,1.88    ,-0.58    ,-2.19     ,0.79     ,3.86     ,4.11    ,-2.69     ,0.72     ,9.34     ,4.38     ,7.69     ,4.33
201001     ,1.26     ,1.94     ,1.90     ,2.98     ,2.99     ,2.51     ,2.44     ,3.63     ,1.78     ,4.95     ,3.45     ,0.82     ,6.36     ,4.09     ,4.65     ,1.39     ,0.49     ,3.55     ,3.04     ,4.13    ,-0.19    ,-0.25     ,2.78     ,0.34     ,4.79    ,-2.49     ,2.74     ,2.92     ,1.19     ,2.86     ,1.85     ,9.51
201002     ,0.84     ,1.88     ,2.47     ,0.63     ,2.34     ,0.66     ,1.40     ,0.79     ,2.90     ,0.70     ,1.50     ,1.77     ,0.44     ,1.58     ,1.98     ,1.15     ,2.63     ,2.08     ,2.70     ,0.84     ,1.09     ,0.83     ,2.55     ,0.50    ,-2.79    ,-0.60     ,0.36     ,0.57    ,-1.79    ,-0.76    ,-1.41     ,0.75
201003     ,1.52     ,0.44     ,0.66     ,2.76     ,3.45     ,4.58     ,3.59     ,5.76     ,9.34     ,7.06     ,6.70     ,7.81     ,8.77    ,10.05    ,10.18    ,11.92     ,2.91     ,0.05     ,1.13     ,4.71     ,1.90     ,3.02     ,3.51     ,5.01     ,7.11     ,7.80     ,4.72     ,7.05     ,7.57     ,9.27     ,8.53     ,9.52
201004     ,5.29     ,5.07     ,2.50     ,5.41     ,4.41     ,3.32     ,2.64     ,5.88     ,5.25     ,4.98     ,2.77    ,10.15    ,10.23     ,9.40     ,5.49    ,10.14    ,-0.20    ,-0.53    ,-0.24     ,0.86     ,0.27    ,-0.75    ,-1.29    ,-0.99     ,0.97    ,-1.17     ,0.47    ,-1.60     ,4.27     ,2.51     ,2.93    ,-2.32
201005    ,-5.02    ,-5.20    ,-4.78    ,-6.62    ,-7.02    ,-6.47    ,-4.82    ,-6.46    ,-8.05    ,-7.94    ,-8.43   ,-10.16    ,-9.74   ,-10.51    ,-7.72   ,-12.12    ,-7.81    ,-4.14    ,-4.84    ,-7.91    ,-6.79    ,-5.00    ,-6.79    ,-8.69   ,-11.07    ,-8.82    ,-8.73    ,-9.65   ,-12.66    ,-9.48    ,-9.15   ,-12.46
201006    ,-0.15     ,0.72     ,1.78    ,-0.06     ,1.19     ,2.59     ,2.63     ,1.72     ,0.02     ,0.46     ,1.00     ,1.27    ,-3.68    ,-2.00    ,-0.94    ,-3.92     ,0.92     ,4.17     ,3.88     ,2.20     ,0.12     ,1.20    ,-0.48    ,-3.94    ,-3.74    ,-3.58    ,-3.24    ,-3.96    ,-3.65    ,-1.91    ,-1.66    ,-7.35
201007     ,0.41     ,1.55     ,1.29     ,2.33     ,2.24     ,2.78     ,1.05     ,2.07     ,1.75     ,1.76     ,0.07     ,1.51     ,1.27    ,-0.11     ,0.97     ,1.42     ,3.88     ,5.55     ,5.02     ,1.44     ,2.83     ,5.22     ,0.92     ,2.45     ,3.25     ,4.67     ,2.14     ,5.55     ,4.33     ,1.99     ,1.05    ,-0.60
201008    ,-8.07    ,-5.16    ,-1.26    ,-2.29    ,-4.83    ,-3.73    ,-0.04    ,-0.57    ,-5.59    ,-4.70    ,-1.22    ,-2.03    ,-7.49    ,-4.97    ,-2.58    ,-4.31    ,-5.77    ,-4.56    ,-3.10    ,-1.68    ,-3.67    ,-1.42     ,0.06     ,2.03    ,-4.37    ,-3.35    ,-0.29    ,-3.10    ,-6.41    ,-4.25     ,0.21    ,-2.55
201009     ,5.32     ,5.29     ,4.23     ,3.18     ,5.49     ,5.47     ,3.00     ,2.95     ,5.00     ,4.57     ,3.03     ,2.50     ,2.05     ,3.59     ,3.90     ,4.43     ,7.30     ,9.75     ,3.83     ,3.79     ,9.01     ,7.92    ,-0.69     ,0.95     ,8.79     ,4.05     ,2.71     ,0.54     ,7.89     ,4.73     ,2.59     ,1.20
201010    ,-0.30    ,-2.01    ,-2.19    ,-0.54    ,-2.68    ,-2.04    ,-3.60    ,-1.75    ,-3.39    ,-2.45    ,-3.66    ,-1.94    ,-3.36    ,-3.58    ,-2.81    ,-2.04     ,0.45     ,2.06    ,-0.93     ,1.50     ,2.57     ,1.72     ,0.45     ,3.03     ,3.41     ,3.05     ,1.04     ,2.08    ,-0.50     ,3.49     ,1.59     ,0.38
201011     ,5.61     ,3.52     ,0.58     ,0.92     ,6.81     ,2.72     ,1.28     ,0.17     ,6.07     ,3.43     ,1.46     ,3.15     ,6.87     ,7.22     ,1.57     ,2.42     ,3.55     ,2.91     ,2.29     ,0.98     ,4.02     ,1.33     ,1.08    ,-1.35     ,5.21     ,3.44    ,-1.44     ,0.46     ,3.98     ,2.28     ,1.00     ,0.75
201012    ,10.98    ,10.29    ,10.17     ,8.76    ,13.27    ,10.73     ,9.52     ,9.39    ,12.61    ,12.68    ,10.33     ,9.59    ,14.30    ,10.64    ,10.55    ,10.02     ,6.78     ,5.53     ,8.84     ,7.66     ,5.22     ,7.93     ,7.28     ,5.26     ,9.54     ,7.28     ,7.28    ,11.92    ,11.09     ,8.42     ,4.29     ,9.48
201101     ,0.23     ,2.82     ,1.33     ,1.16     ,1.60     ,1.98     ,1.35     ,1.32     ,4.50     ,4.61     ,2.23     ,2.14     ,5.38     ,4.09     ,5.53     ,5.46     ,0.37     ,1.19    ,-4.25    ,-1.62     ,3.18     ,2.60     ,0.83     ,0.02     ,1.09    ,-1.33     ,0.00    ,-2.93     ,1.66    ,-0.39     ,1.08    ,-0.23
201102     ,5.68     ,4.11     ,2.53     ,4.66     ,5.67     ,3.75     ,4.50     ,3.49     ,5.15     ,4.63     ,4.85     ,5.70     ,9.40     ,6.20     ,4.46     ,6.24     ,2.33     ,4.95     ,2.46     ,4.51     ,6.26     ,3.87     ,4.84     ,5.99     ,5.67     ,4.56     ,4.46     ,5.89     ,3.33     ,4.02     ,5.50     ,5.51
201103    ,-9.40    ,-7.10    ,-8.32    ,-7.99    ,-9.01    ,-2.88    ,-4.88    ,-4.63    ,-6.91    ,-4.84    ,-4.64    ,-4.76    ,-9.52    ,-1.45     ,3.82    ,-0.55    ,-6.91    ,-4.34    ,-7.36    ,-8.66    ,-9.38    ,-9.01   ,-14.16    ,-7.55   ,-10.58    ,-9.35    ,-6.19   ,-13.71   ,-10.41    ,-8.57    ,-8.23    ,-7.66
201104     ,1.78     ,1.18    ,-0.58     ,1.79    ,-1.87    ,-0.94    ,-0.93    ,-0.50    ,-2.26    ,-1.23    ,-2.44     ,0.04    ,-1.62    ,-1.45    ,-2.44    ,-3.58     ,1.54     ,2.84    ,-0.37     ,3.03     ,0.72     ,2.64    ,-1.07     ,2.52     ,1.87    ,-2.27    ,-1.19     ,0.45    ,-0.46    ,-0.46     ,0.49     ,0.14
201105    ,-2.75    ,-1.36    ,-3.38    ,-0.76    ,-1.03     ,0.89    ,-1.18    ,-1.29    ,-1.81    ,-2.97    ,-3.56    ,-0.91    ,-3.01    ,-3.42    ,-5.38    ,-3.96    ,-3.25    ,-3.14    ,-0.08     ,1.24     ,0.25    ,-2.03    ,-1.80    ,-0.56     ,0.43    ,-1.35    ,-5.63    ,-3.79    ,-2.41    ,-1.49    ,-1.03    ,-2.86
201106     ,2.33     ,4.14     ,4.92     ,2.66     ,5.25     ,4.20     ,3.45     ,3.44     ,7.73     ,6.23     ,4.58     ,5.14     ,6.41     ,5.11     ,5.29     ,4.91     ,2.39     ,2.12    ,-2.01     ,3.90     ,1.46     ,1.56     ,1.99     ,0.72     ,3.19     ,1.29     ,5.74     ,5.32     ,3.90     ,3.20     ,3.91     ,3.29
201107     ,3.20     ,2.77     ,5.45     ,5.16     ,2.23     ,4.14     ,5.01     ,5.58     ,2.74     ,5.96     ,4.87     ,4.44     ,4.62     ,3.62     ,3.96     ,4.60     ,4.13     ,5.30     ,3.49     ,4.52     ,5.12     ,5.40     ,4.56     ,2.74     ,1.77     ,2.34     ,2.88     ,2.28     ,4.84     ,3.16     ,5.18     ,3.71
201108    ,-4.63    ,-3.20    ,-4.28    ,-3.65    ,-4.28    ,-3.26    ,-3.05    ,-2.30    ,-3.76    ,-3.25    ,-2.30    ,-3.84    ,-0.95    ,-1.40    ,-1.67    ,-5.69    ,-8.69    ,-9.78    ,-7.21    ,-2.89   ,-13.62    ,-8.15    ,-4.96   ,-10.74    ,-6.87    ,-4.66   ,-10.44    ,-9.44    ,-7.77    ,-3.69    ,-7.73    ,-7.46
201109    ,-4.40    ,-1.85    ,-1.95    ,-2.03    ,-2.55     ,0.64     ,0.24    ,-0.06    ,-1.85     ,0.97     ,2.01    ,-0.42    ,-2.72     ,0.79     ,2.14    ,-1.20    ,-5.62    ,-1.53    ,-0.44     ,0.26    ,-2.80    ,-0.27     ,0.96     ,1.40    ,-1.47     ,0.25    ,-0.27    ,-4.99     ,0.63     ,5.39     ,5.09     ,0.56
201110    ,-2.81    ,-2.53    ,-3.66    ,-1.21    ,-0.52    ,-4.28    ,-4.37    ,-4.92    ,-2.11    ,-3.95    ,-6.12    ,-3.77    ,-0.20    ,-3.24    ,-5.65    ,-3.86     ,4.41     ,4.38    ,-1.42    ,-1.91    ,-0.44    ,-0.23    ,-1.13    ,-4.00    ,-1.97    ,-5.17    ,-3.16     ,3.12    ,-0.57    ,-1.60    ,-5.57    ,-4.16
201111    ,-3.11    ,-1.11    ,-3.11    ,-3.40    ,-0.78    ,-1.48    ,-2.55    ,-2.77    ,-3.05    ,-0.36    ,-0.97    ,-2.84    ,-1.01     ,0.66     ,0.10     ,1.64    ,-3.27    ,-2.82    ,-4.03    ,-4.06    ,-2.96    ,-3.72    ,-4.60    ,-5.26    ,-2.55    ,-2.57    ,-4.98    ,-9.45    ,-5.39    ,-3.38    ,-2.19    ,-2.85
201112     ,2.34     ,2.23     ,2.85     ,1.54    ,-0.63     ,1.72     ,1.87     ,2.24     ,2.75     ,3.06     ,2.44     ,4.37     ,3.61     ,2.63     ,3.94     ,3.28    ,-0.75    ,-2.76     ,0.08     ,1.63     ,0.76     ,2.58     ,3.29     ,0.53    ,-0.37     ,2.50     ,3.26    ,-2.48     ,2.52     ,3.13     ,1.81     ,1.93
201201     ,5.00     ,6.59     ,9.18     ,2.89     ,6.56     ,5.88     ,5.66     ,5.63    ,11.40     ,7.02     ,6.74     ,6.07    ,15.36     ,8.60     ,7.36     ,7.55     ,3.28     ,5.09     ,2.96     ,0.21     ,6.10     ,3.57     ,1.85     ,4.28     ,2.34     ,4.42     ,8.08     ,4.40     ,6.81     ,0.77     ,4.70     ,4.88
201202     ,3.07    ,-1.98    ,-2.74     ,1.63     ,0.50     ,1.62    ,-0.03     ,0.35     ,0.57     ,1.18     ,0.60     ,1.08     ,1.09     ,0.79     ,2.36     ,4.50     ,4.82     ,4.35     ,3.08     ,2.45     ,5.64     ,2.75     ,1.57     ,5.23     ,2.48     ,2.17     ,7.78     ,8.04     ,0.94    ,-2.22     ,5.69     ,3.88
201203     ,2.93     ,2.17     ,1.94     ,3.16     ,4.24     ,2.66     ,2.17     ,3.38     ,1.71     ,2.68     ,1.79     ,2.61     ,4.34     ,3.09     ,2.38    ,-0.86     ,2.12     ,1.76     ,1.77     ,1.89     ,1.13     ,1.40     ,1.86     ,1.23     ,0.11    ,-0.40     ,2.54    ,-0.27     ,1.65    ,-0.60     ,0.27     ,0.68
201204     ,0.75     ,0.97     ,3.19     ,3.38     ,0.64     ,0.78     ,0.24     ,3.26    ,-0.70     ,0.92     ,0.01    ,-0.13    ,-0.79    ,-0.12    ,-0.90    ,-1.23    ,-1.76    ,-0.84    ,-0.82     ,0.58    ,-3.89    ,-1.41     ,1.07    ,-0.69    ,-5.01    ,-2.94    ,-3.27    ,-6.14    ,-3.64    ,-2.59    ,-3.16    ,-4.38
201205   ,-10.39    ,-8.95    ,-7.07    ,-7.97   ,-11.33    ,-7.32    ,-7.83    ,-4.37    ,-5.90    ,-8.57    ,-7.53    ,-7.95   ,-10.94   ,-10.43    ,-8.71    ,-9.43    ,-6.80    ,-6.04    ,-8.60    ,-8.05   ,-10.76    ,-7.95    ,-7.39    ,-9.99   ,-10.54    ,-7.53    ,-7.53   ,-12.90   ,-10.67    ,-8.50    ,-8.85    ,-9.67
201206     ,6.35     ,3.17     ,4.58     ,4.12     ,8.26     ,2.23     ,3.26     ,1.20     ,4.83     ,4.59     ,4.20     ,4.87     ,6.96     ,4.82     ,4.36     ,4.00     ,3.02     ,5.70     ,3.65     ,4.46     ,4.79     ,2.81     ,4.62     ,3.52     ,5.27     ,3.64     ,5.47     ,6.48     ,6.09     ,7.34     ,7.06     ,6.82
201207    ,-3.42     ,1.53    ,-1.82    ,-0.47    ,-2.60    ,-1.19    ,-0.92    ,-0.96    ,-2.08    ,-2.60    ,-2.88    ,-3.00    ,-5.19    ,-1.32    ,-1.25    ,-2.60     ,2.50    ,-6.30     ,1.80     ,0.86    ,-2.50    ,-0.75     ,0.89    ,-0.08    ,-4.00    ,-3.55    ,-1.84    ,-1.40    ,-6.61    ,-4.12    ,-8.82    ,-2.72
201208     ,1.66    ,-0.72     ,0.33     ,0.25    ,-1.39     ,0.13    ,-1.51    ,-2.67    ,-1.70    ,-0.90    ,-0.44    ,-1.77    ,-2.90    ,-1.67    ,-1.43    ,-3.54    ,-0.58     ,0.27     ,1.91     ,0.77     ,1.41     ,0.64    ,-2.25     ,1.20     ,0.58     ,0.11    ,-3.94    ,-0.64    ,-3.60    ,-4.58    ,-1.59    ,-3.31
201209     ,0.06     ,3.00     ,1.39     ,4.41    ,-1.42     ,2.61     ,2.12     ,1.61     ,2.17     ,1.93     ,1.55     ,0.30     ,1.90     ,2.09     ,2.78     ,1.81     ,2.60    ,-0.04    ,-0.20     ,1.95     ,4.03     ,0.95     ,0.72     ,3.31     ,4.35     ,0.73     ,3.55     ,5.88     ,2.78     ,4.50     ,3.83     ,5.47
201210    ,-0.15     ,5.17    ,-1.78     ,2.04    ,-1.89    ,-1.99    ,-3.36    ,-3.32    ,-2.37    ,-3.59    ,-3.56    ,-3.78    ,-0.28    ,-1.75    ,-4.62    ,-1.91    ,-1.34    ,-1.84    ,-6.36    ,-2.85    ,-0.66    ,-1.76    ,-1.08    ,-2.43     ,0.34    ,-0.81    ,-2.71    ,-1.68    ,-0.35    ,-3.37    ,-2.32    ,-1.70
201211     ,0.87     ,2.23     ,0.35     ,0.77     ,2.76    ,-0.75     ,1.85     ,1.25     ,1.15     ,1.24     ,1.28     ,2.56     ,6.48    ,-0.61     ,1.90    ,-0.78     ,0.58     ,2.59     ,2.24     ,0.01    ,-0.64     ,0.80     ,3.19    ,-1.09     ,3.25     ,6.91     ,0.32     ,1.03     ,0.71     ,1.03     ,4.64     ,4.05
