,SMALL LoBM LoINV,ME1 BM1 INV2,ME1 BM1 INV3,ME1 BM1 HiINV,ME1 BM2 LoINV,ME1 BM2 INV2,ME1 BM2 INV3,ME1 BM2 HiINV,ME1 BM3 LoINV,ME1 BM3 INV2,ME1 BM3 INV3,ME1 BM3 HiINV,ME1 BM4 LoINV,ME1 BM4 INV2,ME1 BM4 INV3,SMALL HiBM HiINV,BIG LoBM LoINV,ME2 BM1 INV2,ME2 BM1 INV3,ME2 BM1 HiINV,ME2 BM2 LoINV,ME2 BM2 INV2,ME2 BM2 INV3,ME2 BM2 HiINV,ME2 BM3 LoINV,ME2 BM3 INV2,ME2 BM3 INV3,ME2 BM3 HiINV,ME2 BM4 LoINV,ME2 BM4 INV2,ME2 BM4 INV3,BIG HiBM HiINV
200407    ,-9.89    ,-6.54    ,-8.51   ,-11.15    ,-8.26    ,-5.67    ,-4.30    ,-6.61    ,-6.55    ,-3.88    ,-3.41    ,-5.14    ,-4.45    ,-4.47    ,-3.88    ,-3.34   ,-10.42    ,-7.31    ,-6.44    ,-9.92    ,-8.08    ,-5.25    ,-5.85    ,-3.96    ,-8.09    ,-5.13    ,-5.03    ,-5.88    ,-7.25    ,-4.30    ,-4.90    ,-3.38
200408     ,2.79     ,0.45    ,-0.03     ,1.35     ,2.24     ,1.21     ,0.11     ,0.62     ,3.67     ,0.13     ,1.88     ,1.37     ,2.45     ,2.15     ,1.40     ,1.13     ,2.18     ,2.38     ,4.12     ,2.98     ,3.15     ,2.81     ,0.61    ,-0.51     ,0.00    ,-3.01     ,0.58    ,-2.05     ,0.70     ,1.96     ,0.18     ,2.50
200409    ,-4.39    ,-4.08    ,-5.43    ,-6.25    ,-3.03    ,-3.27    ,-2.63    ,-4.20    ,-2.65    ,-2.78    ,-2.60    ,-2.21    ,-0.41    ,-1.11    ,-1.48    ,-1.91    ,-2.69    ,-1.84    ,-5.10    ,-4.06     ,0.26    ,-2.45    ,-2.57    ,-2.52    ,-2.48    ,-4.50    ,-1.88    ,-3.21    ,-1.57    ,-1.31    ,-1.72    ,-2.11
200410     ,4.58     ,2.19     ,0.48     ,1.19     ,3.03     ,3.33     ,2.58     ,1.66     ,3.11     ,2.51     ,1.26     ,4.90     ,4.17     ,4.16     ,4.19     ,2.50     ,1.73    ,-0.11     ,3.46     ,3.92     ,0.79     ,2.10     ,2.40     ,2.06     ,2.43     ,4.12     ,2.59     ,0.96     ,2.61     ,2.31     ,1.14     ,1.12
200411     ,4.47     ,2.70     ,2.22     ,4.79     ,4.02     ,2.24     ,1.27     ,1.68     ,3.07     ,3.41     ,3.54     ,3.01     ,4.64     ,2.66     ,3.28     ,1.41     ,4.07     ,2.49     ,0.88     ,4.24     ,5.94     ,3.70     ,6.62     ,1.38     ,5.99     ,4.74     ,3.00     ,5.02     ,3.59     ,4.79     ,5.51     ,0.48
200412     ,3.48     ,2.45     ,3.20     ,4.46     ,4.37     ,5.04     ,5.12     ,4.76     ,6.04     ,5.98     ,5.04     ,6.04     ,4.78     ,5.65     ,3.69     ,5.03     ,5.76     ,5.65     ,5.66     ,4.76     ,3.39     ,2.76     ,4.68     ,6.63     ,3.38     ,3.26     ,7.10     ,4.17     ,5.19     ,6.65     ,6.30     ,8.98
200501     ,7.17     ,4.82     ,4.32     ,5.71     ,4.16     ,4.17     ,2.91     ,5.72     ,5.30     ,5.53     ,3.41     ,2.01     ,6.95     ,4.94     ,4.99     ,4.83    ,-2.72    ,-0.46    ,-2.78    ,-2.05    ,-0.65     ,0.46    ,-3.67    ,-3.31     ,2.53    ,-1.47    ,-2.06    ,-1.11    ,-0.67     ,0.32     ,3.08    ,-1.52
200502     ,3.55     ,6.48     ,2.32     ,0.52     ,6.59     ,3.35     ,3.59     ,3.61     ,4.38     ,4.00     ,4.60     ,5.50     ,5.98     ,6.55     ,5.84     ,6.22     ,1.71     ,2.56    ,-0.51    ,-0.67     ,3.51     ,2.56     ,1.38     ,1.70     ,2.83     ,2.42     ,0.71     ,3.44     ,2.27     ,3.86     ,1.19    ,-0.12
200503     ,0.29    ,-0.18     ,0.79    ,-1.78     ,0.73    ,-0.49     ,1.57    ,-0.07     ,2.69     ,2.43     ,1.48     ,4.32     ,2.55     ,2.17     ,4.58     ,6.28    ,-3.36    ,-2.04    ,-2.41    ,-3.03    ,-2.46    ,-1.16    ,-2.40    ,-1.58    ,-0.79     ,0.26    ,-1.27    ,-1.62     ,0.66     ,1.22     ,1.65     ,0.66
200504    ,-1.09    ,-1.19     ,1.29     ,2.09    ,-0.30    ,-0.98     ,0.62    ,-0.27    ,-1.42    ,-0.88     ,0.40     ,0.91     ,1.42     ,1.49     ,0.99     ,2.54    ,-3.56    ,-4.79    ,-5.10    ,-1.42    ,-1.93    ,-2.07    ,-1.40    ,-2.71    ,-0.88    ,-1.72    ,-2.14    ,-5.09    ,-0.28     ,1.39    ,-2.59    ,-2.37
